"STATION","NAME","DATE","DAPR","MDPR","PRCP","SNOW","SNWD","TMAX","TMIN"
"USC00357641","SEASIDE, OR US","2021-01-01",,,"0.00","0.0","0.0","57","48"
"USC00357641","SEASIDE, OR US","2021-01-02",,,"0.00","0.0","0.0","57","48"
"USC00357641","SEASIDE, OR US","2021-01-03",,,"4.11","0.0","0.0","52","43"
"USC00357641","SEASIDE, OR US","2021-01-04",,,"1.20","0.0","0.0","55","47"
"USC00357641","SEASIDE, OR US","2021-01-05",,,"0.26","0.0","0.0","54","44"
"USC00357641","SEASIDE, OR US","2021-01-06",,,"1.67","0.0","0.0","54","46"
"USC00357641","SEASIDE, OR US","2021-01-07",,,,"0.0","0.0",,
"USC00357641","SEASIDE, OR US","2021-01-08","    2","0.81",,"0.0","0.0","54","43"
"USC00357641","SEASIDE, OR US","2021-01-09",,,"0.01","0.0","0.0","50","31"
"USC00357641","SEASIDE, OR US","2021-01-10",,,"2.57","0.0","0.0","54","44"
"USC00357641","SEASIDE, OR US","2021-01-11",,,,"0.0","0.0",,
"USC00357641","SEASIDE, OR US","2021-01-12",,,,"0.0","0.0",,
"USC00357641","SEASIDE, OR US","2021-01-13","    3","1.55",,"0.0","0.0","50","46"
"USC00357641","SEASIDE, OR US","2021-01-14",,,"0.00","0.0","0.0","63","42"
"USC00357641","SEASIDE, OR US","2021-01-15",,,"0.40","0.0","0.0","61","48"
"USC00357641","SEASIDE, OR US","2021-01-16",,,"0.00","0.0","0.0","57","36"
"USC00357641","SEASIDE, OR US","2021-01-17",,,"0.00","0.0","0.0","52","36"
"USC00357641","SEASIDE, OR US","2021-01-18",,,"0.00","0.0","0.0","53","32"
"USC00357641","SEASIDE, OR US","2021-01-19",,,,"0.0","0.0",,
"USC00357641","SEASIDE, OR US","2021-01-20",,,,"0.0","0.0",,
"USC00357641","SEASIDE, OR US","2021-01-21",,,,"0.0","0.0",,
"USC00357641","SEASIDE, OR US","2021-01-22","    4","0.13",,"0.0","0.0","55","32"
"USC00357641","SEASIDE, OR US","2021-01-23",,,"0.00","0.0","0.0","48","29"
"USC00357641","SEASIDE, OR US","2021-01-24",,,,"0.0","0.0",,
"USC00357641","SEASIDE, OR US","2021-01-25","    2","0.95",,"0.0","0.0","46","35"
"USC00357641","SEASIDE, OR US","2021-01-26",,,"0.25","0.0","0.0","46","33"
"USC00357641","SEASIDE, OR US","2021-01-27",,,"0.08","0.0","0.0","43","35"
"USC00357641","SEASIDE, OR US","2021-01-28",,,"0.18","0.0","0.0","49","40"
"USC00357641","SEASIDE, OR US","2021-01-29",,,,"0.0","0.0",,
"USC00357641","SEASIDE, OR US","2021-01-30","    2","1.40",,"0.0","0.0","50","32"
"USC00357641","SEASIDE, OR US","2021-01-31",,,"1.15","0.0","0.0","52","43"
"USC00357641","SEASIDE, OR US","2021-02-01",,,"0.00","0.0","0.0",,
"USC00357641","SEASIDE, OR US","2021-02-02",,,"1.90","0.0","0.0","52","41"
"USC00357641","SEASIDE, OR US","2021-02-03",,,"0.80","0.0","0.0","46","35"
"USC00357641","SEASIDE, OR US","2021-02-04",,,"0.40","0.0","0.0","47","36"
"USC00357641","SEASIDE, OR US","2021-02-05",,,"0.45","0.0","0.0","48","38"
"USC00357641","SEASIDE, OR US","2021-02-06",,,,"0.0","0.0",,
"USC00357641","SEASIDE, OR US","2021-02-07","    2","0.26",,"0.0","0.0","48","43"
"USC00357641","SEASIDE, OR US","2021-02-08",,,"0.01","0.0","0.0","46","37"
"USC00357641","SEASIDE, OR US","2021-02-09",,,"0.00","0.0","0.0","46","30"
"USC00357641","SEASIDE, OR US","2021-02-10",,,"0.01","0.0","0.0","43","34"
"USC00357641","SEASIDE, OR US","2021-02-11",,,"0.05","0.0","0.0","44","34"
"USC00357641","SEASIDE, OR US","2021-02-12",,,,"0.0","0.0",,
"USC00357641","SEASIDE, OR US","2021-02-13","    2","2.25",,"0.0","0.0","48","33"
"USC00357641","SEASIDE, OR US","2021-02-14",,,"0.00","0.0","0.0",,
"USC00357641","SEASIDE, OR US","2021-02-15",,,"1.32","0.0","0.0","50","40"
"USC00357641","SEASIDE, OR US","2021-02-16",,,"0.20","0.0","0.0","46","44"
"USC00357641","SEASIDE, OR US","2021-02-17",,,"0.02","0.0","0.0","47","44"
"USC00357641","SEASIDE, OR US","2021-02-18",,,"0.04","0.0","0.0","51","39"
"USC00357641","SEASIDE, OR US","2021-02-19",,,"0.21","0.0","0.0","57","39"
"USC00357641","SEASIDE, OR US","2021-02-20",,,"0.12","0.0","0.0","49","40"
"USC00357641","SEASIDE, OR US","2021-02-21",,,"0.32","0.0","0.0","51","45"
"USC00357641","SEASIDE, OR US","2021-02-22",,,"2.10","0.0","0.0","51","49"
"USC00357641","SEASIDE, OR US","2021-02-23",,,"0.00","0.0","0.0",,
"USC00357641","SEASIDE, OR US","2021-02-24",,,"0.00","0.0","0.0",,
"USC00357641","SEASIDE, OR US","2021-02-25",,,"0.13","0.0","0.0","53","41"
"USC00357641","SEASIDE, OR US","2021-02-26",,,"0.00","0.0","0.0","47","42"
"USC00357641","SEASIDE, OR US","2021-02-27",,,"0.35","0.0","0.0","48","42"
"USC00357641","SEASIDE, OR US","2021-02-28",,,"0.00","0.0","0.0","52","43"
"USC00357641","SEASIDE, OR US","2021-03-01",,,"0.00","0.0","0.0","56","36"
"USC00357641","SEASIDE, OR US","2021-03-02",,,"0.01","0.0","0.0","49","44"
"USC00357641","SEASIDE, OR US","2021-03-03",,,"0.01","0.0","0.0","48","32"
"USC00357641","SEASIDE, OR US","2021-03-04",,,"0.00","0.0","0.0","55","33"
"USC00357641","SEASIDE, OR US","2021-03-05",,,,"0.0","0.0",,
"USC00357641","SEASIDE, OR US","2021-03-06","    2","1.29",,"0.0","0.0","55","41"
"USC00357641","SEASIDE, OR US","2021-03-07",,,"0.57","0.0","0.0","49","39"
"USC00357641","SEASIDE, OR US","2021-03-08",,,"0.01","0.0","0.0","52","31"
"USC00357641","SEASIDE, OR US","2021-03-09",,,"0.01","0.0","0.0","51","39"
"USC00357641","SEASIDE, OR US","2021-03-10",,,"0.16","0.0","0.0","51","37"
"USC00357641","SEASIDE, OR US","2021-03-11",,,"0.00","0.0","0.0","51","31"
"USC00357641","SEASIDE, OR US","2021-03-12",,,"0.00","0.0","0.0","51","30"
"USC00357641","SEASIDE, OR US","2021-03-13",,,"0.00","0.0","0.0","53","32"
"USC00357641","SEASIDE, OR US","2021-03-14",,,,"0.0","0.0",,
"USC00357641","SEASIDE, OR US","2021-03-15","    2","0.61",,"0.0","0.0","52","36"
"USC00357641","SEASIDE, OR US","2021-03-16",,,"0.00","0.0","0.0","47","28"
"USC00357641","SEASIDE, OR US","2021-03-17",,,"0.00","0.0","0.0","53","29"
"USC00357641","SEASIDE, OR US","2021-03-18",,,"0.24","0.0","0.0","53","39"
"USC00357641","SEASIDE, OR US","2021-03-19",,,"0.15","0.0","0.0","53","42"
"USC00357641","SEASIDE, OR US","2021-03-20",,,"0.71","0.0","0.0","50","44"
"USC00357641","SEASIDE, OR US","2021-03-21",,,,"0.0","0.0",,
"USC00357641","SEASIDE, OR US","2021-03-22",,,,"0.0","0.0",,
"USC00357641","SEASIDE, OR US","2021-03-23",,,,"0.0","0.0",,
"USC00357641","SEASIDE, OR US","2021-03-24",,,,"0.0","0.0",,
"USC00357641","SEASIDE, OR US","2021-03-25","    5","2.20",,"0.0","0.0","51","37"
"USC00357641","SEASIDE, OR US","2021-03-26",,,"0.01","0.0","0.0","52","39"
"USC00357641","SEASIDE, OR US","2021-03-27",,,"0.00","0.0","0.0","52","38"
"USC00357641","SEASIDE, OR US","2021-03-28",,,"0.05","0.0","0.0","48","42"
"USC00357641","SEASIDE, OR US","2021-03-29",,,"0.60","0.0","0.0","50","42"
"USC00357641","SEASIDE, OR US","2021-03-30",,,"0.00","0.0","0.0","49","35"
"USC00357641","SEASIDE, OR US","2021-03-31",,,"0.00","0.0","0.0","63","31"
"USC00357641","SEASIDE, OR US","2021-04-01",,,"0.00","0.0","0.0","57","37"
"USC00357641","SEASIDE, OR US","2021-04-02",,,"0.05","0.0","0.0","57","37"
"USC00357641","SEASIDE, OR US","2021-04-03",,,"0.00","0.0","0.0","57","37"
"USC00357641","SEASIDE, OR US","2021-04-04",,,"0.00","0.0","0.0",,
"USC00357641","SEASIDE, OR US","2021-04-05",,,"0.00","0.0","0.0","54","31"
"USC00357641","SEASIDE, OR US","2021-04-06",,,,"0.0","0.0",,
"USC00357641","SEASIDE, OR US","2021-04-07",,,,"0.0","0.0",,
"USC00357641","SEASIDE, OR US","2021-04-08","    3","0.20",,"0.0","0.0","51","42"
"USC00357641","SEASIDE, OR US","2021-04-09",,,"0.01","0.0","0.0","51","31"
"USC00357641","SEASIDE, OR US","2021-04-10",,,"0.00","0.0","0.0",,
"USC00357641","SEASIDE, OR US","2021-04-11",,,"0.00","0.0","0.0","59","29"
"USC00357641","SEASIDE, OR US","2021-04-12",,,"0.00","0.0","0.0","61","30"
"USC00357641","SEASIDE, OR US","2021-04-13",,,"0.00","0.0","0.0","65","33"
"USC00357641","SEASIDE, OR US","2021-04-14",,,"0.00","0.0","0.0","66","34"
"USC00357641","SEASIDE, OR US","2021-04-15",,,"0.00","0.0","0.0","69","36"
"USC00357641","SEASIDE, OR US","2021-04-16",,,"0.00","0.0","0.0","80","45"
"USC00357641","SEASIDE, OR US","2021-04-17",,,"0.00","0.0","0.0","81","42"
"USC00357641","SEASIDE, OR US","2021-04-18",,,"0.00","0.0","0.0","80","41"
"USC00357641","SEASIDE, OR US","2021-04-19",,,"0.00","0.0","0.0",,
"USC00357641","SEASIDE, OR US","2021-04-20",,,"0.00","0.0","0.0","64","45"
"USC00357641","SEASIDE, OR US","2021-04-21",,,"0.00","0.0","0.0","64","45"
"USC00357641","SEASIDE, OR US","2021-04-22",,,"0.00","0.0","0.0","55","48"
"USC00357641","SEASIDE, OR US","2021-04-23",,,"0.00","0.0","0.0","54","47"
"USC00357641","SEASIDE, OR US","2021-04-24",,,"0.80","0.0","0.0","52","46"
"USC00357641","SEASIDE, OR US","2021-04-25",,,"0.00","0.0","0.0","54","43"
"USC00357641","SEASIDE, OR US","2021-04-26",,,"0.00","0.0","0.0","56","45"
"USC00357641","SEASIDE, OR US","2021-04-27",,,"0.00","0.0","0.0","55","37"
"USC00357641","SEASIDE, OR US","2021-04-28",,,"0.00","0.0","0.0","57","39"
"USC00357641","SEASIDE, OR US","2021-04-29",,,"0.00","0.0","0.0","57","43"
"USC00357641","SEASIDE, OR US","2021-04-30",,,"0.31","0.0","0.0","57","52"
"USC00357641","SEASIDE, OR US","2021-05-01",,,"0.01","0.0","0.0","56","46"
"USC00357641","SEASIDE, OR US","2021-05-02",,,"0.00","0.0","0.0","58","45"
"USC00357641","SEASIDE, OR US","2021-05-03",,,"0.00","0.0","0.0","64","57"
"USC00357641","SEASIDE, OR US","2021-05-04",,,"0.00","0.0","0.0",,
"USC00357641","SEASIDE, OR US","2021-05-05",,,"0.00","0.0","0.0",,
"USC00357641","SEASIDE, OR US","2021-05-06",,,"0.04","0.0","0.0","67","37"
"USC00357641","SEASIDE, OR US","2021-05-07",,,"0.19","0.0","0.0","68","38"
"USC00357641","SEASIDE, OR US","2021-05-08",,,"0.01","0.0","0.0","55","42"
"USC00357641","SEASIDE, OR US","2021-05-09",,,"0.03","0.0","0.0","58","48"
"USC00357641","SEASIDE, OR US","2021-05-10",,,"0.00","0.0","0.0",,
"USC00357641","SEASIDE, OR US","2021-05-11",,,"0.00","0.0","0.0","58","41"
"USC00357641","SEASIDE, OR US","2021-05-12",,,"0.00","0.0","0.0","58","50"
"USC00357641","SEASIDE, OR US","2021-05-13",,,"0.01","0.0","0.0","56","48"
"USC00357641","SEASIDE, OR US","2021-05-14",,,"0.00","0.0","0.0","53","48"
"USC00357641","SEASIDE, OR US","2021-05-15",,,"0.00","0.0","0.0","54","48"
"USC00357641","SEASIDE, OR US","2021-05-16",,,"0.00","0.0","0.0",,
"USC00357641","SEASIDE, OR US","2021-05-17",,,"0.09","0.0","0.0","53","48"
"USC00357641","SEASIDE, OR US","2021-05-18",,,"0.00","0.0","0.0",,
"USC00357641","SEASIDE, OR US","2021-05-19",,,"0.16","0.0","0.0","56","40"
"USC00357641","SEASIDE, OR US","2021-05-20",,,"0.01","0.0","0.0","55","43"
"USC00357641","SEASIDE, OR US","2021-05-21",,,"0.00","0.0","0.0","55","49"
"USC00357641","SEASIDE, OR US","2021-05-22",,,"0.00","0.0","0.0","56","49"
"USC00357641","SEASIDE, OR US","2021-05-23",,,"0.10","0.0","0.0","57","51"
"USC00357641","SEASIDE, OR US","2021-05-24",,,"0.10","0.0","0.0","57","52"
"USC00357641","SEASIDE, OR US","2021-05-25",,,"0.17","0.0","0.0","57","50"
"USC00357641","SEASIDE, OR US","2021-05-26",,,"0.01","0.0","0.0","59","50"
"USC00357641","SEASIDE, OR US","2021-05-27",,,"0.38","0.0","0.0","59","50"
"USC00357641","SEASIDE, OR US","2021-05-28",,,"0.05","0.0","0.0","58","50"
"USC00357641","SEASIDE, OR US","2021-05-29",,,"0.00","0.0","0.0","61","39"
"USC00357641","SEASIDE, OR US","2021-05-30",,,"0.00","0.0","0.0","61","43"
"USC00357641","SEASIDE, OR US","2021-05-31",,,"0.00","0.0","0.0","65","46"
